Algorithm,Qubits,Mutants,Add,Replace,Remove,gate_representation,position_representation,qubit_representation,params_representation
qft,3,19,8,8,3,"{'cp': 2, 'cz': 1, 'ry': 1, 'id': 1, 'cx': 1, 'swap': 1, 'h': 1, 'y': 1, 't': 1, 'sx': 1, 'rzz': 1, 'rx': 1, 'z': 1, 'x': 1, 'p': 1, 's': 1, 'rz': 1, 'rxx': 1}","{'0': 10, '1': 3, '6': 2, '3': 1, '5': 1, '4': 1, '2': 1}","{'2': 14, '0': 3, '1': 2}","{'[]': 9, '': 3, '[2.356194490192345]': 2, '[0.0]': 2, '[4.71238898038469]': 1, '[3.9269908169872414]': 1, '[5.497787143782138]': 1}"
qft,4,21,8,8,5,"{'cp': 4, 't': 1, 'cx': 1, 'rz': 1, 'sx': 1, 'ry': 1, 'rxx': 1, 'id': 1, 'rzz': 1, 'rx': 1, 'cz': 1, 'swap': 1, 'h': 1, 'p': 1, 'y': 1, 'z': 1, 'x': 1, 's': 1}","{'0': 8, '10': 3, '4': 1, '3': 1, '1': 1, '6': 1, '8': 1, '5': 1, '11': 1, '2': 1, '7': 1, '9': 1}","{'3': 11, '0': 4, '2': 3, '1': 3}","{'[]': 9, '': 5, '[4.71238898038469]': 2, '[0.0]': 1, '[2.356194490192345]': 1, '[5.497787143782138]': 1, '[3.9269908169872414]': 1, '[0.7853981633974483]': 1}"
qft,6,26,9,9,8,"{'cp': 8, 'cx': 2, 'p': 1, 'rxx': 1, 'x': 1, 'id': 1, 'rzz': 1, 'z': 1, 't': 1, 's': 1, 'ry': 1, 'cz': 1, 'swap': 1, 'h': 1, 'rx': 1, 'rz': 1, 'sx': 1, 'y': 1}","{'0': 3, '20': 1, '6': 1, '9': 1, '18': 1, '22': 1, '8': 1, '23': 1, '11': 1, '5': 1, '12': 1, '21': 1, '14': 1, '7': 1, '4': 1, '16': 1, '3': 1, '19': 1, '17': 1, '13': 1, '2': 1, '1': 1, '10': 1...","{'5': 8, '4': 5, '2': 4, '3': 4, '1': 3, '0': 2}","{'[]': 10, '': 8, '[3.141592653589793]': 3, '[0.0]': 3, '[4.71238898038469]': 1, '[5.497787143782138]': 1}"
qft,7,31,11,10,10,"{'cp': 13, 'cx': 2, 'x': 1, 'id': 1, 'y': 1, 'sx': 1, 's': 1, 'rx': 1, 'cz': 1, 'z': 1, 'rz': 1, 'swap': 1, 'h': 1, 't': 1, 'p': 1, 'ry': 1, 'rzz': 1, 'rxx': 1}","{'26': 1, '14': 1, '9': 1, '20': 1, '24': 1, '1': 1, '5': 1, '0': 1, '7': 1, '12': 1, '11': 1, '2': 1, '30': 1, '29': 1, '28': 1, '8': 1, '10': 1, '6': 1, '22': 1, '4': 1, '3': 1, '25': 1, '23': 1...","{'6': 7, '5': 6, '4': 5, '3': 4, '2': 4, '1': 3, '0': 2}","{'[]': 10, '': 10, '[3.9269908169872414]': 3, '[4.71238898038469]': 2, '[2.356194490192345]': 2, '[3.141592653589793]': 1, '[0.0]': 1, '[5.497787143782138]': 1, '[1.5707963267948966]': 1}"
qft,8,40,14,13,13,"{'cp': 21, 'cx': 3, 'p': 1, 'sx': 1, 'h': 1, 'z': 1, 'cz': 1, 'swap': 1, 'ry': 1, 'x': 1, 'rzz': 1, 'y': 1, 'rz': 1, 'rx': 1, 't': 1, 'id': 1, 's': 1, 'rxx': 1}","{'16': 1, '18': 1, '11': 1, '17': 1, '23': 1, '3': 1, '7': 1, '2': 1, '0': 1, '10': 1, '21': 1, '20': 1, '25': 1, '28': 1, '30': 1, '32': 1, '4': 1, '35': 1, '8': 1, '39': 1, '38': 1, '37': 1, '13...","{'7': 8, '6': 7, '5': 6, '4': 5, '3': 5, '2': 4, '1': 3, '0': 2}","{'': 13, '[]': 11, '[5.497787143782138]': 3, '[3.9269908169872414]': 3, '[2.356194490192345]': 3, '[4.71238898038469]': 2, '[3.141592653589793]': 2, '[1.5707963267948966]': 2, '[0.7853981633974483..."
qft,9,49,17,16,16,"{'cp': 26, 'cx': 6, 'h': 2, 'z': 1, 'cz': 1, 'id': 1, 'rz': 1, 'rx': 1, 'sx': 1, 'rzz': 1, 'ry': 1, 'y': 1, 'x': 1, 't': 1, 'rxx': 1, 's': 1, 'swap': 1, 'p': 1}","{'14': 1, '39': 1, '18': 1, '6': 1, '9': 1, '0': 1, '2': 1, '15': 1, '17': 1, '20': 1, '19': 1, '21': 1, '23': 1, '25': 1, '7': 1, '28': 1, '30': 1, '32': 1, '12': 1, '34': 1, '37': 1, '3': 1, '42...","{'8': 9, '7': 8, '6': 7, '5': 6, '4': 5, '3': 5, '2': 4, '1': 3, '0': 2}","{'': 16, '[]': 15, '[3.141592653589793]': 5, '[3.9269908169872414]': 3, '[4.71238898038469]': 3, '[5.497787143782138]': 2, '[0.7853981633974483]': 2, '[0.0]': 2, '[2.356194490192345]': 1}"
qft,10,60,20,20,20,"{'cp': 34, 'cx': 8, 'h': 2, 'id': 2, 'rz': 1, 'x': 1, 'z': 1, 'sx': 1, 't': 1, 'y': 1, 'p': 1, 's': 1, 'rzz': 1, 'ry': 1, 'cz': 1, 'rxx': 1, 'swap': 1, 'rx': 1}","{'27': 1, '8': 1, '24': 1, '30': 1, '26': 1, '32': 1, '29': 1, '13': 1, '34': 1, '22': 1, '31': 1, '33': 1, '1': 1, '36': 1, '38': 1, '39': 1, '41': 1, '40': 1, '18': 1, '54': 1, '46': 1, '45': 1,...","{'9': 10, '8': 9, '7': 8, '6': 7, '4': 6, '5': 6, '3': 5, '2': 4, '1': 3, '0': 2}","{'': 20, '[]': 17, '[0.7853981633974483]': 6, '[4.71238898038469]': 4, '[3.141592653589793]': 3, '[2.356194490192345]': 3, '[3.9269908169872414]': 2, '[0.0]': 2, '[5.497787143782138]': 2, '[1.5707..."
qftentangled,2,19,8,8,3,"{'h': 2, 't': 1, 's': 1, 'rzz': 1, 'rx': 1, 'p': 1, 'z': 1, 'cz': 1, 'x': 1, 'cp': 1, 'y': 1, 'rz': 1, 'ry': 1, 'rxx': 1, 'id': 1, 'cx': 1, 'swap': 1, 'sx': 1}","{'0': 11, '1': 3, '5': 2, '4': 1, '3': 1, '2': 1}","{'1': 16, '0': 3}","{'[]': 9, '': 3, '[0.7853981633974483]': 3, '[5.497787143782138]': 2, '[3.141592653589793]': 1, '[2.356194490192345]': 1}"
qftentangled,3,20,8,8,4,"{'cp': 3, 'p': 1, 'cz': 1, 'cx': 1, 'h': 1, 'y': 1, 't': 1, 'z': 1, 'x': 1, 'sx': 1, 's': 1, 'rz': 1, 'rzz': 1, 'ry': 1, 'rxx': 1, 'rx': 1, 'id': 1, 'swap': 1}","{'0': 9, '9': 2, '1': 2, '5': 1, '3': 1, '8': 1, '7': 1, '4': 1, '6': 1, '2': 1}","{'2': 14, '1': 3, '0': 3}","{'[]': 9, '': 4, '[1.5707963267948966]': 3, '[3.141592653589793]': 3, '[0.7853981633974483]': 1}"
qftentangled,4,21,8,8,5,"{'cp': 4, 'p': 1, 'sx': 1, 'id': 1, 'h': 1, 'cz': 1, 'swap': 1, 'cx': 1, 'rzz': 1, 't': 1, 'z': 1, 'x': 1, 's': 1, 'rx': 1, 'y': 1, 'rz': 1, 'ry': 1, 'rxx': 1}","{'0': 6, '11': 1, '4': 1, '6': 1, '1': 1, '10': 1, '3': 1, '5': 1, '7': 1, '8': 1, '2': 1, '14': 1, '12': 1, '13': 1, '9': 1, '15': 1}","{'3': 11, '2': 4, '1': 4, '0': 2}","{'[]': 9, '': 5, '[5.497787143782138]': 2, '[0.7853981633974483]': 1, '[3.141592653589793]': 1, '[2.356194490192345]': 1, '[4.71238898038469]': 1, '[3.9269908169872414]': 1}"
qftentangled,5,24,9,8,7,"{'cp': 7, 'ry': 1, 'rx': 1, 'h': 1, 'rzz': 1, 'rxx': 1, 'id': 1, 't': 1, 'cz': 1, 'y': 1, 'z': 1, 'swap': 1, 's': 1, 'cx': 1, 'sx': 1, 'p': 1, 'rz': 1, 'x': 1}","{'0': 3, '19': 1, '14': 1, '18': 1, '15': 1, '21': 1, '13': 1, '16': 1, '3': 1, '11': 1, '20': 1, '7': 1, '2': 1, '9': 1, '8': 1, '1': 1, '6': 1, '17': 1, '12': 1, '10': 1, '5': 1, '4': 1}","{'4': 9, '3': 5, '2': 4, '1': 4, '0': 2}","{'[]': 9, '': 7, '[4.71238898038469]': 3, '[3.141592653589793]': 2, '[0.0]': 1, '[3.9269908169872414]': 1, '[5.497787143782138]': 1}"
qftentangled,6,30,10,10,10,"{'cp': 13, 'cz': 1, 's': 1, 'rz': 1, 'swap': 1, 't': 1, 'cx': 1, 'p': 1, 'rzz': 1, 'ry': 1, 'z': 1, 'rxx': 1, 'y': 1, 'h': 1, 'sx': 1, 'id': 1, 'rx': 1, 'x': 1}","{'14': 1, '8': 1, '5': 1, '3': 1, '29': 1, '28': 1, '6': 1, '27': 1, '22': 1, '9': 1, '1': 1, '0': 1, '10': 1, '7': 1, '25': 1, '23': 1, '21': 1, '18': 1, '17': 1, '16': 1, '12': 1, '26': 1, '4': ...","{'5': 8, '4': 6, '3': 5, '2': 5, '1': 4, '0': 2}","{'': 10, '[]': 9, '[3.9269908169872414]': 5, '[1.5707963267948966]': 2, '[4.71238898038469]': 1, '[5.497787143782138]': 1, '[0.7853981633974483]': 1, '[3.141592653589793]': 1}"
qftentangled,7,38,13,12,13,"{'cp': 21, 'y': 1, 'rz': 1, 'p': 1, 'sx': 1, 'swap': 1, 'ry': 1, 'cx': 1, 'x': 1, 'rxx': 1, 't': 1, 's': 1, 'rx': 1, 'z': 1, 'id': 1, 'h': 1, 'cz': 1, 'rzz': 1}","{'23': 1, '6': 1, '28': 1, '33': 1, '8': 1, '2': 1, '30': 1, '32': 1, '12': 1, '35': 1, '34': 1, '19': 1, '36': 1, '37': 1, '3': 1, '4': 1, '5': 1, '27': 1, '31': 1, '29': 1, '26': 1, '24': 1, '15...","{'6': 9, '5': 7, '4': 6, '3': 5, '2': 5, '1': 4, '0': 2}","{'': 13, '[]': 9, '[5.497787143782138]': 4, '[3.9269908169872414]': 4, '[2.356194490192345]': 3, '[0.0]': 2, '[3.141592653589793]': 2, '[1.5707963267948966]': 1}"
qftentangled,8,48,16,16,16,"{'cp': 31, 's': 1, 'rzz': 1, 'cx': 1, 'rxx': 1, 'id': 1, 'rx': 1, 'rz': 1, 'sx': 1, 'cz': 1, 'y': 1, 'z': 1, 'h': 1, 't': 1, 'ry': 1, 'x': 1, 'p': 1, 'swap': 1}","{'35': 1, '23': 1, '39': 1, '41': 1, '13': 1, '0': 1, '14': 1, '18': 1, '22': 1, '20': 1, '21': 1, '24': 1, '26': 1, '29': 1, '31': 1, '33': 1, '36': 1, '12': 1, '38': 1, '40': 1, '42': 1, '9': 1,...","{'7': 10, '6': 8, '5': 7, '3': 6, '4': 6, '2': 5, '1': 4, '0': 2}","{'': 16, '[]': 9, '[0.0]': 5, '[1.5707963267948966]': 4, '[5.497787143782138]': 4, '[3.141592653589793]': 3, '[2.356194490192345]': 2, '[4.71238898038469]': 2, '[0.7853981633974483]': 2, '[3.92699..."
qftentangled,9,58,20,19,19,"{'cp': 38, 'cx': 3, 'h': 2, 'sx': 1, 'ry': 1, 's': 1, 'rxx': 1, 'p': 1, 'swap': 1, 'rz': 1, 'x': 1, 't': 1, 'id': 1, 'y': 1, 'z': 1, 'rx': 1, 'rzz': 1, 'cz': 1}","{'12': 1, '38': 1, '28': 1, '31': 1, '3': 1, '4': 1, '33': 1, '55': 1, '56': 1, '18': 1, '29': 1, '57': 1, '35': 1, '5': 1, '6': 1, '44': 1, '40': 1, '7': 1, '42': 1, '8': 1, '46': 1, '49': 1, '52...","{'8': 11, '7': 9, '6': 8, '5': 7, '4': 6, '3': 6, '2': 5, '1': 4, '0': 2}","{'': 19, '[]': 12, '[3.141592653589793]': 8, '[2.356194490192345]': 5, '[0.7853981633974483]': 3, '[4.71238898038469]': 3, '[1.5707963267948966]': 3, '[5.497787143782138]': 3, '[3.9269908169872414..."
qftentangled,10,70,24,23,23,"{'cp': 48, 'cx': 5, 'h': 2, 'z': 1, 'ry': 1, 'cz': 1, 'y': 1, 'rxx': 1, 't': 1, 'rz': 1, 'sx': 1, 'p': 1, 'x': 1, 'id': 1, 'rx': 1, 'swap': 1, 's': 1, 'rzz': 1}","{'56': 1, '55': 1, '58': 1, '17': 1, '16': 1, '21': 1, '13': 1, '63': 1, '53': 1, '61': 1, '60': 1, '57': 1, '50': 1, '48': 1, '52': 1, '46': 1, '20': 1, '22': 1, '59': 1, '39': 1, '47': 1, '49': ...","{'9': 12, '8': 10, '7': 9, '6': 8, '5': 7, '4': 7, '3': 6, '2': 5, '1': 4, '0': 2}","{'': 23, '[]': 14, '[0.7853981633974483]': 8, '[3.141592653589793]': 6, '[2.356194490192345]': 4, '[5.497787143782138]': 3, '[4.71238898038469]': 3, '[3.9269908169872414]': 3, '[1.5707963267948966..."
qpeexact,2,18,8,8,2,"{'rz': 1, 'p': 1, 'rxx': 1, 'cz': 1, 'cp': 1, 'z': 1, 'id': 1, 'swap': 1, 's': 1, 'cx': 1, 'x': 1, 'rzz': 1, 'h': 1, 't': 1, 'y': 1, 'rx': 1, 'sx': 1, 'ry': 1}","{'0': 9, '2': 6, '1': 2, '3': 1}","{'0': 10, '1': 8}","{'[]': 9, '[0.7853981633974483]': 2, '[4.71238898038469]': 2, '': 2, '[0.0]': 1, '[3.9269908169872414]': 1, '[2.356194490192345]': 1}"
qpeexact,3,19,8,7,4,"{'h': 2, 'z': 1, 'sx': 1, 'y': 1, 'rzz': 1, 's': 1, 'rx': 1, 'p': 1, 'rz': 1, 'ry': 1, 'rxx': 1, 'cz': 1, 'id': 1, 'cp': 1, 'cx': 1, 'x': 1, 'swap': 1, 't': 1}","{'0': 9, '3': 3, '4': 2, '7': 1, '2': 1, '6': 1, '1': 1, '5': 1}","{'0': 12, '2': 4, '1': 3}","{'[]': 8, '': 4, '[3.9269908169872414]': 2, '[0.0]': 2, '[1.5707963267948966]': 1, '[2.356194490192345]': 1, '[4.71238898038469]': 1}"
qpeexact,4,19,8,7,4,"{'h': 2, 'rxx': 1, 'ry': 1, 'id': 1, 'rx': 1, 'cx': 1, 'x': 1, 'swap': 1, 'p': 1, 'z': 1, 'y': 1, 'cz': 1, 'cp': 1, 't': 1, 's': 1, 'rz': 1, 'sx': 1, 'rzz': 1}","{'0': 7, '10': 2, '9': 1, '8': 1, '7': 1, '1': 1, '6': 1, '5': 1, '3': 1, '4': 1, '2': 1, '11': 1}","{'0': 9, '2': 5, '1': 3, '3': 2}","{'[]': 8, '': 4, '[0.0]': 2, '[1.5707963267948966]': 1, '[4.71238898038469]': 1, '[0.7853981633974483]': 1, '[3.141592653589793]': 1, '[5.497787143782138]': 1}"
qpeexact,5,23,8,8,7,"{'cp': 5, 'cx': 2, 'rz': 1, 'id': 1, 'ry': 1, 'cz': 1, 'y': 1, 'rxx': 1, 't': 1, 'rx': 1, 'z': 1, 'x': 1, 'swap': 1, 's': 1, 'sx': 1, 'p': 1, 'h': 1, 'rzz': 1}","{'0': 3, '1': 1, '14': 1, '16': 1, '17': 1, '12': 1, '10': 1, '3': 1, '15': 1, '9': 1, '4': 1, '18': 1, '8': 1, '2': 1, '20': 1, '11': 1, '13': 1, '7': 1, '6': 1, '5': 1, '19': 1}","{'3': 5, '4': 5, '0': 5, '1': 4, '2': 4}","{'[]': 9, '': 7, '[0.0]': 2, '[4.71238898038469]': 2, '[1.5707963267948966]': 2, '[2.356194490192345]': 1}"
qpeexact,6,27,9,9,9,"{'cp': 6, 'h': 3, 'cx': 2, 'id': 2, 'rz': 1, 'rxx': 1, 'z': 1, 'rx': 1, 'ry': 1, 'sx': 1, 'p': 1, 'y': 1, 's': 1, 'rzz': 1, 't': 1, 'x': 1, 'swap': 1, 'cz': 1}","{'1': 1, '2': 1, '24': 1, '22': 1, '19': 1, '18': 1, '15': 1, '25': 1, '14': 1, '17': 1, '20': 1, '10': 1, '13': 1, '8': 1, '0': 1, '11': 1, '26': 1, '21': 1, '9': 1, '16': 1, '23': 1, '3': 1, '12...","{'4': 6, '5': 5, '3': 5, '1': 4, '2': 4, '0': 3}","{'[]': 11, '': 9, '[5.497787143782138]': 3, '[2.356194490192345]': 2, '[4.71238898038469]': 2}"
qpeexact,7,34,12,11,11,"{'cp': 10, 'h': 5, 'cx': 4, 'id': 2, 'swap': 1, 'x': 1, 'rx': 1, 'rz': 1, 'sx': 1, 'ry': 1, 'rzz': 1, 's': 1, 'z': 1, 'rxx': 1, 'p': 1, 't': 1, 'cz': 1, 'y': 1}","{'33': 1, '21': 1, '23': 1, '27': 1, '32': 1, '24': 1, '12': 1, '29': 1, '15': 1, '4': 1, '18': 1, '20': 1, '22': 1, '16': 1, '25': 1, '2': 1, '14': 1, '28': 1, '19': 1, '11': 1, '0': 1, '3': 1, '...","{'5': 7, '4': 6, '2': 5, '3': 5, '6': 5, '1': 4, '0': 3}","{'[]': 14, '': 12, '[5.497787143782138]': 3, '[0.7853981633974483]': 2, '[3.141592653589793]': 1, '[1.5707963267948966]': 1, '[3.9269908169872414]': 1, '[0.0]': 1}"
qpeexact,8,46,16,15,15,"{'cp': 16, 'cx': 6, 'h': 6, 'id': 4, 'x': 1, 'swap': 1, 's': 1, 'rx': 1, 'rxx': 1, 'rzz': 1, 'y': 1, 'sx': 1, 'p': 1, 'rz': 1, 'z': 1, 'cz': 1, 't': 1, 'ry': 1}","{'41': 1, '17': 1, '9': 1, '0': 1, '10': 1, '45': 1, '38': 1, '6': 1, '12': 1, '20': 1, '4': 1, '7': 1, '44': 1, '29': 1, '34': 1, '13': 1, '37': 1, '42': 1, '8': 1, '18': 1, '28': 1, '31': 1, '43...","{'6': 8, '7': 8, '5': 7, '4': 6, '2': 5, '3': 5, '1': 4, '0': 3}","{'[]': 19, '': 15, '[5.497787143782138]': 2, '[0.7853981633974483]': 2, '[1.5707963267948966]': 2, '[2.356194490192345]': 2, '[0.0]': 2, '[3.9269908169872414]': 1, '[4.71238898038469]': 1}"
qpeexact,9,56,19,18,19,"{'cp': 22, 'cx': 9, 'h': 7, 'id': 4, 'rzz': 1, 'cz': 1, 'rx': 1, 'x': 1, 'sx': 1, 'swap': 1, 'rz': 1, 't': 1, 'z': 1, 'y': 1, 'p': 1, 's': 1, 'ry': 1, 'rxx': 1}","{'37': 1, '20': 1, '51': 1, '54': 1, '49': 1, '47': 1, '4': 1, '52': 1, '22': 1, '5': 1, '9': 1, '6': 1, '1': 1, '19': 1, '13': 1, '40': 1, '55': 1, '7': 1, '18': 1, '15': 1, '8': 1, '0': 1, '12':...","{'7': 9, '6': 8, '8': 8, '5': 7, '3': 6, '4': 6, '2': 5, '1': 4, '0': 3}","{'[]': 22, '': 19, '[3.141592653589793]': 4, '[0.0]': 3, '[1.5707963267948966]': 2, '[2.356194490192345]': 2, '[0.7853981633974483]': 2, '[4.71238898038469]': 1, '[5.497787143782138]': 1}"
